1.894,0
1.888,6018
1.896,12020
1.903,18023
1.886,24025
1.886,30083
1.879,36086
1.924,42089
1.896,48091
1.885,54094
1.897,60096
1.91,66105
1.895,72106
1.898,78165
1.872,84167
1.901,90170
1.897,96172
1.872,102175
1.894,108177
1.915,114179
1.867,120184
1.892,126243
1.888,132246
1.883,138248
1.888,144251
1.884,150253
1.91,156255
1.887,162257
1.878,168259
1.897,174318
1.881,180325
1.878,186328
1.899,192330
1.923,198333
1.891,204335
1.883,210337
1.881,216339
1.894,222398
1.921,228401
1.883,234415
1.901,240417
1.885,246420
1.899,252422
1.898,258424
1.897,264425
1.883,270484
1.878,276487
1.876,282489
1.893,288495
1.87,294498
1.879,300500
1.87,306501
1.867,312504
1.884,318562
1.887,324565
1.87,330568
1.87,336570
1.898,342575
1.862,348577
1.846,354579
1.883,360581
1.876,366640
1.882,372643
1.874,378646
1.875,384648
1.88,390651
1.871,396653
1.873,402665
1.872,408667
1.872,414725
1.889,420728
1.892,426731
1.913,432733
1.901,438736
1.896,444738
1.869,450740
1.879,456745
1.882,462803
1.873,468806
1.845,474808
1.866,480810
1.872,486813
1.883,492815
1.897,498818
1.892,504820
1.897,510822
1.914,516824
1.894,522826
1.903,528829
1.883,534831
1.869,540833
1.905,546835
1.921,552837
1.897,558896
1.892,564905
1.888,570908
1.909,576910
1.891,582912
1.853,588914
1.882,594916
1.897,600918
1.899,606977
1.873,612980
1.876,618985
1.899,624987
1.894,630989
1.913,636992
1.881,642994
1.894,648996
1.856,655054
1.887,661057
1.9,667060
1.87,673065
1.897,679067
1.897,685069
1.889,691071
1.879,697074
1.897,703132
1.884,709135
1.879,715138
1.882,721140
1.883,727142
1.889,733155
1.896,739156
1.878,745158
1.884,751217
1.883,757220
1.875,763222
1.881,769224
1.889,775227
1.887,781229
1.883,787235
1.892,793237
1.897,799295
1.895,805298
1.878,811301
1.884,817304
1.868,823306
1.869,829308
1.866,835310
1.882,841315
1.918,847374
1.877,853377
1.882,859379
1.855,865382
1.869,871385
1.861,877387
1.872,883389
1.879,889391
1.83,895451
1.878,901454
1.879,907457
1.853,913459
1.882,919461
1.915,925464
1.868,931466
1.886,937468
1.924,943527
1.856,949535
1.875,955538
1.894,961540
1.903,967543
1.896,973545
1.884,979547
1.868,985549
1.87,991607
1.894,997611
1.888,1003614
1.915,1009617
1.874,1015619
1.883,1021621
1.889,1027624
1.875,1033625
1.88,1039684
1.876,1045687
1.891,1051690
1.894,1057695
1.903,1063698
1.911,1069700
1.872,1075701
1.864,1081704
1.891,1087763
1.885,1093766
1.891,1099768
1.888,1105770
1.894,1111775
1.915,1117777
1.878,1123780
1.843,1129782
1.889,1135841
1.894,1141844
1.897,1147846
1.87,1153848
1.888,1159855
1.908,1165857
1.888,1171860
