0.828, 102
0.128, 10
0.237, 20
0.266, 30
0.173, 40
0.434, 51
0.336, 61
0.612, 71
0.282, 81
0.278, 92
0.493, 102
0.489, 112
0.954, 122
0.736, 132
1.104, 143
0.603, 153
0.676, 163
0.66, 173
0.801, 184
1.048, 194
1.504, 204
0.974, 214
1.477, 225
1.697, 235
1.059, 245
1.781, 255
1.708, 265
1.601, 276
1.438, 286
2.048, 296
2.121, 306
1.871, 317
2.27, 327
1.894, 337
1.942, 347
2.443, 358
2.259, 368
2.478, 378
2.397, 388
2.155, 398
2.769, 409
2.388, 419
2.302, 429
2.797, 439
2.305, 450
2.688, 460
2.606, 470
2.595, 480
2.838, 491
2.578, 501
2.99, 511
3.152, 521
2.863, 531
3.105, 542
3.152, 552
3.152, 562
3.152, 572
3.152, 583
3.152, 593
3.152, 603
3.152, 613
3.152, 624
3.152, 634
3.152, 644
3.152, 654
3.152, 664
3.152, 675
3.152, 685
3.152, 695
3.152, 705
3.152, 716
3.152, 726
3.152, 736
3.152, 746
3.152, 757
3.152, 767
3.152, 777
3.152, 787
3.152, 797
3.152, 808
3.152, 818
3.152, 828
3.152, 838
3.152, 849
3.152, 859
3.152, 869
3.152, 879
3.152, 890
3.152, 900
3.152, 910
3.152, 920
3.152, 930
3.152, 941
3.152, 951
3.152, 961
3.152, 971
3.152, 982
3.152, 992
3.152, 1002
3.152, 1012
